iter	Passed	Remaining
0	276	2761624
1	444	2221629
2	651	2170508
3	874	2184571
4	1075	2150167
5	1266	2110134
6	1476	2107156
7	1660	2073460
8	1883	2091144
9	2065	2063220
10	2263	2055505
11	2451	2040577
12	2670	2051835
13	2868	2045825
14	3046	2028173
15	3236	2019304
16	3424	2010725
17	3623	2009309
18	3820	2006841
19	3996	1994199
20	4184	1988660
21	4398	1994708
22	4633	2009911
23	4815	2001838
24	5051	2015677
25	5243	2011357
26	5437	2008365
27	5667	2018561
28	5875	2020029
29	6182	2054634
30	6469	2080609
31	6748	2102196
32	6974	2106418
33	7179	2104536
34	7399	2106791
35	7590	2100927
36	7792	2098183
37	8006	2098948
38	8226	2101062
39	8434	2100238
40	8622	2094409
41	8818	2090886
42	9036	2092563
43	9251	2093447
44	9444	2089400
45	9655	2089282
46	9847	2085439
47	10057	2085253
48	10256	2082828
49	10465	2082585
50	10675	2082595
51	10876	2080771
52	11106	2084433
53	11298	2080988
54	11503	2080009
55	11684	2074901
56	11894	2074836
57	12101	2074370
58	12328	2077235
59	12530	2075918
60	12760	2079052
61	12953	2076330
62	13211	2083785
63	13424	2084153
64	13626	2082733
65	13827	2081240
66	14148	2097551
67	14510	2119455
68	14893	2143563
69	15224	2159685
70	15537	2172865
71	15769	2174501
72	16131	2193639
73	16361	2194704
74	16565	2192195
75	16779	2191030
76	16953	2184786
77	17147	2181247
78	17354	2179402
79	17547	2175837
80	17733	2171544
81	17931	2168809
82	18157	2169520
83	18391	2171034
84	18593	2168896
85	18799	2167214
86	18984	2163168
87	19194	2162035
88	19384	2158681
89	19598	2158014
90	19816	2157791
91	20019	2156065
92	20264	2158693
93	20479	2158214
94	20669	2155097
95	20892	2155435
96	21124	2156647
97	21326	2154813
98	21554	2155633
99	21789	2157142
100	21996	2155912
101	22194	2153707
102	22438	2156072
103	22647	2155003
104	22856	2153974
105	23054	2151859
106	23258	2150424
107	23463	2149118
108	23641	2145306
109	23853	2144683
110	24106	2147653
111	24398	2154028
112	24677	2159208
113	25036	2171166
114	25350	2179059
115	25618	2182832
116	25906	2188348
117	26192	2193524
118	26410	2192964
119	26623	2191980
120	26846	2191834
121	27042	2189534
122	27280	2190635
123	27549	2194209
124	27749	2192243
125	28033	2196880
126	28307	2200638
127	28490	2197316
128	28719	2197578
129	28949	2197913
130	29186	2198806
131	29421	2199454
132	29681	2202041
133	29961	2205947
134	30178	2205290
135	30417	2206189
136	30802	2217582
137	31004	2215709
138	31249	2216926
139	31476	2216817
140	31714	2217545
141	31949	2218024
142	32155	2216511
143	32344	2213789
144	32557	2212812
145	32773	2212013
146	33024	2213550
147	33241	2212775
148	33461	2212275
149	33726	2214688
150	34037	2220087
151	34365	2226520
152	34667	2231167
153	35040	2240289
154	35333	2244254
155	35626	2248150
156	35912	2251502
157	36148	2251731
158	36393	2252530
159	36679	2255808
160	37021	2262441
161	37408	2271753
162	37729	2276971
163	37947	2275953
164	38184	2276050
165	38410	2275459
166	38670	2276920
167	38871	2274886
168	39098	2274428
169	39333	2274383
170	39560	2273905
171	39837	2276272
172	40267	2287326
173	40512	2287807
174	40795	2290369
175	41018	2289587
176	41246	2289080
177	41469	2288286
178	41701	2287992
179	41929	2287462
180	42128	2285428
181	42332	2283637
182	42564	2283378
183	42772	2281822
184	43012	2281969
185	43298	2284602
186	43537	2284671
187	43772	2284567
188	44010	2284594
189	44261	2285282
190	44504	2285550
191	44746	2285818
192	44965	2284834
193	45206	2285005
194	45439	2284767
195	45694	2285676
196	45919	2285001
197	46131	2283728
198	46360	2283325
199	46603	2283576
200	46817	2282422
201	47041	2281732
202	47276	2281612
203	47492	2280568
204	47730	2280588
205	47985	2281413
206	48241	2282271
207	48476	2282106
208	48716	2282222
209	48953	2282160
210	49179	2281621
211	49407	2281144
212	49658	2281718
213	49896	2281712
214	50126	2281317
215	50355	2280902
216	50575	2280107
217	50780	2278609
218	51039	2279538
219	51270	2279189
220	51499	2278788
221	51722	2278106
222	52014	2280474
223	52235	2279696
224	52453	2278811
225	52683	2278430
226	52884	2276838
227	53142	2277650
228	53391	2278119
229	53630	2278123
230	53838	2276823
231	54106	2278069
232	54323	2277153
233	54564	2277233
234	54820	2277959
235	55045	2277372
236	55324	2279025
237	55540	2278074
238	55775	2277921
239	55987	2276812
240	56428	2285002
241	56687	2285774
242	56924	2285648
243	57156	2285328
244	57369	2284244
245	57561	2282350
246	57803	2282413
247	58021	2281543
248	58300	2283076
249	58576	2284473
250	58775	2282883
251	59006	2282534
252	59214	2281295
253	59446	2280972
254	59677	2280612
255	59883	2279313
256	60103	2278544
257	60375	2279743
258	60609	2279541
259	60861	2279963
260	61097	2279795
261	61313	2278894
262	61508	2277213
263	61704	2275591
264	61936	2275296
265	62147	2274241
266	62378	2273895
267	62609	2273573
268	62801	2271837
269	63010	2270695
270	63226	2269855
271	63426	2268426
272	63635	2267318
273	63831	2265790
274	64037	2264589
275	64261	2264052
276	64537	2265344
277	64763	2264853
278	64963	2263462
279	65223	2264181
280	65430	2263052
281	65658	2262641
282	65914	2263203
283	66160	2263432
284	66401	2263461
285	66633	2263197
286	66839	2262057
287	67093	2262542
288	67327	2262327
289	67561	2262151
290	67776	2261312
291	68001	2260826
292	68261	2261481
293	68468	2260406
294	68662	2258883
295	68898	2258766
296	69160	2259474
297	69384	2258960
298	69605	2258344
299	69832	2257905
300	70049	2257191
301	70258	2256181
302	70500	2256256
303	70705	2255147
304	70898	2253637
305	71129	2253375
306	71355	2252913
307	71578	2252404
308	71897	2254880
309	72111	2254059
310	72347	2253933
311	72602	2254403
312	72824	2253851
313	73043	2253168
314	73283	2253190
315	73505	2252603
316	73712	2251591
317	73924	2250755
318	74154	2250424
319	74365	2249551
320	74662	2251264
321	74900	2251216
322	75140	2251195
323	75346	2250170
324	75591	2250296
325	75804	2249495
326	76012	2248537
327	76247	2248359
328	76488	2248377
329	76702	2247603
330	76940	2247555
331	77187	2247725
332	77403	2247021
333	77634	2246758
334	77856	2246204
335	78062	2245230
336	78274	2244414
337	78519	2244531
338	78726	2243583
339	78944	2242965
340	79286	2245834
341	79567	2246979
342	79784	2246286
343	80081	2247857
344	80369	2249192
345	80604	2248994
346	80867	2249617
347	81129	2250172
348	81401	2251018
349	81661	2251518
350	81897	2251365
351	82109	2250552
352	82342	2250298
353	82553	2249453
354	82779	2249050
355	83022	2249066
356	83252	2248742
357	83527	2249631
358	83792	2250266
359	84019	2249857
360	84245	2249416
361	84497	2249679
362	84745	2249837
363	84975	2249525
364	85228	2249810
365	85466	2249675
366	85708	2249663
367	85953	2249732
368	86195	2249720
